Time,LIVING_UNIT1::Des Heat Load [W],LIVING_UNIT1:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1::Des Heat Mass Flow [kg/s],LIVING_UNIT1:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
20:00:00,0.000000E+00,2.151308E+03,0.000000E+00,1.706652E-01
20:15:00,0.000000E+00,9.757479E+02,0.000000E+00,7.320991E-02
20:30:00,0.000000E+00,2.253913E+03,0.000000E+00,1.717423E-01
20:45:00,0.000000E+00,4.498482E+03,0.000000E+00,4.108114E-01
21:00:00,0.000000E+00,5.023373E+03,0.000000E+00,4.966874E-01
21:15:00,0.000000E+00,5.023373E+03,0.000000E+00,4.966874E-01
21:30:00,0.000000E+00,3.745208E+03,0.000000E+00,3.981550E-01
21:45:00,0.000000E+00,1.344319E+03,0.000000E+00,1.477832E-01
22:00:00,0.000000E+00,1.583441E+03,0.000000E+00,1.325497E-01
22:15:00,0.000000E+00,1.583441E+03,0.000000E+00,1.325497E-01
22:30:00,0.000000E+00,1.583441E+03,0.000000E+00,1.325497E-01
22:45:00,0.000000E+00,1.583441E+03,0.000000E+00,1.325497E-01
23:00:00,0.000000E+00,6.567409E+02,0.000000E+00,5.240469E-02
23:15:00,0.000000E+00,2.021681E+03,0.000000E+00,1.789106E-01
23:30:00,0.000000E+00,2.021681E+03,0.000000E+00,1.789106E-01
23:45:00,0.000000E+00,2.296709E+03,0.000000E+00,2.018550E-01
24:00:00,0.000000E+00,1.639968E+03,0.000000E+00,1.494503E-01
Peak,0.000000E+00,8.413900E+03,0.000000E+00,8.171351E-01

Peak Vol Flow (m3/s),,,0.000000E+00,6.959049E-01
