Date,time,zoneAveTemp,zoneCoolTemp
7/9/2023,20:00:00,73.2,73
7/9/2023,20:05:00,73.5,73
7/9/2023,20:10:00,73.6,73
7/9/2023,20:15:00,73.6,73
7/9/2023,20:20:00,73.8,73
7/9/2023,20:25:00,73.6,73
7/9/2023,20:30:00,72.6,73
7/9/2023,20:35:00,72.5,73
7/9/2023,20:40:00,72.8,73
7/9/2023,20:45:00,73,73
7/9/2023,20:50:00,73.2,73
7/9/2023,20:55:00,73.2,73
7/9/2023,21:00:00,73.3,73
7/9/2023,21:05:00,73.6,73
7/9/2023,21:10:00,73.6,73
7/9/2023,21:15:00,73.6,73
7/9/2023,21:20:00,73.8,73
7/9/2023,21:25:00,73.3,73
7/9/2023,21:30:00,72.4,73
7/9/2023,21:35:00,72.5,73
7/9/2023,21:40:00,72.7,73
7/9/2023,21:45:00,73,73
7/9/2023,21:50:00,73.1,73
7/9/2023,21:55:00,73.2,73
7/9/2023,22:00:00,73.2,73
7/9/2023,22:05:00,73.4,73
7/9/2023,22:10:00,73.5,73
7/9/2023,22:15:00,73.5,73
7/9/2023,22:20:00,73.6,73
7/9/2023,22:25:00,73.6,73
7/9/2023,22:30:00,73.6,73
7/9/2023,22:35:00,73.8,73
7/9/2023,22:40:00,73.6,73
7/9/2023,22:45:00,72.4,73
7/9/2023,22:50:00,72.1,73
7/9/2023,22:55:00,72.5,73
7/9/2023,23:00:00,72.6,73
7/9/2023,23:05:00,72.9,73
7/9/2023,23:10:00,73.1,73
7/9/2023,23:15:00,73.7,73
7/9/2023,23:20:00,73.5,73
7/9/2023,23:25:00,72.6,73
7/9/2023,23:30:00,72.5,73
7/9/2023,23:35:00,73,73
7/9/2023,23:40:00,73.5,73
7/9/2023,23:45:00,73.7,73
7/9/2023,23:50:00,73.9,73
7/9/2023,23:55:00,73,73
7/10/2023,0:00:00,72.1,73
7/10/2023,0:05:00,72.4,73
7/10/2023,0:10:00,72.9,73
7/10/2023,0:15:00,73.3,73
7/10/2023,0:20:00,73.5,73
7/10/2023,0:25:00,73.7,73
7/10/2023,0:30:00,73.7,73
7/10/2023,0:35:00,73.8,73
7/10/2023,0:40:00,73,73
7/10/2023,0:45:00,72.5,73
7/10/2023,0:50:00,72.5,73
7/10/2023,0:55:00,72.6,73
7/10/2023,1:00:00,72.8,73
7/10/2023,1:05:00,73.1,73
